conID,tstID,poiID,x,y
92,2,0,-1.28,25.12
92,2,1,4.96,0.74
92,2,2,-0.54,25.53
93,0,0,4.3,-0.45
93,0,1,5.19,-0.99
93,0,2,1.02,25.13
93,1,0,2.18,21.17
93,1,1,5.19,-1.37
93,1,2,2.87,24.63
93,2,0,1.81,24.96
93,2,1,5.04,-1.62
93,2,2,2.84,24.74
94,0,0,0.96,-1.08
94,0,1,1.94,-1.7
94,0,2,4.16,25.85
94,1,0,1.27,21.77
94,1,1,1.15,-1.6
94,1,2,3.24,25.79
94,2,0,1.36,26.01
94,2,1,1.81,-1.42
94,2,2,2.37,25.72
95,0,0,6.36,-0.77
95,0,1,5.36,-1.29
95,0,2,2.63,26.14
95,1,0,0.46,20.76
95,1,1,5.79,-2.38
95,1,2,2.19,25.66
95,2,0,-0.74,25.82
95,2,1,5.46,-1.75
95,2,2,0.62,25.54
96,0,0,3.95,2.61
96,0,1,4.69,1.79
96,0,2,1.69,25.84
96,1,0,6.87,22.42
96,1,1,5.1,3.67
96,1,2,4.79,26.82
96,2,0,7.5,26.59
96,2,1,4.84,4.76
96,2,2,6.32,26.71
97,0,0,5.03,0.4
97,0,1,5.04,-0.42
97,0,2,0.4,26.63
97,1,0,0.17,17.43
97,1,1,5.08,0.74
97,1,2,0.23,25.93
97,2,0,-2.49,25.66
97,2,1,4.89,0.6
97,2,2,-1.11,25.77
98,0,0,2.52,2.89
98,0,1,3.54,1.82
98,0,2,-0.03,25.3
98,1,0,6.96,21.0
98,1,1,3.27,3.85
98,1,2,4.42,25.78
98,2,0,8.08,26.51
98,2,1,3.79,5.29
98,2,2,6.98,26.58
99,0,0,2.95,2.97
99,0,1,3.02,2.43
99,0,2,5.89,30.02
99,1,0,6.22,17.32
99,1,1,2.33,1.82
99,1,2,5.86,30.29
99,2,0,8.97,29.86
99,2,1,2.01,0.81
99,2,2,8.01,29.94
100,0,0,3.33,-0.61
100,0,1,2.14,-0.71
100,0,2,7.19,27.78
100,1,0,1.05,21.18
100,1,1,2.52,-1.54
100,1,2,3.51,26.9
100,2,0,0.54,26.8
100,2,1,3.58,-1.56
100,2,2,1.56,27.09
101,0,0,1.72,-0.52
101,0,1,2.5,-1.12
101,0,2,1.95,26.5
101,1,0,5.89,22.44
101,1,1,2.87,-0.98
101,1,2,4.85,25.89
101,2,0,6.31,25.6
101,2,1,3.07,-1.04
101,2,2,5.54,26.0
102,0,0,5.03,0.43
102,0,1,5.06,-0.2
102,0,2,0.3,26.42
102,1,0,1.1,17.62
102,1,1,5.01,0.81
102,1,2,0.26,25.9
102,2,0,-1.3,25.9
102,2,1,4.91,0.99
102,2,2,-0.28,25.25
103,0,0,6.77,0.47
103,0,1,5.37,-0.18
103,0,2,1.22,25.81
103,1,0,6.79,17.66
103,1,1,5.51,-0.49
103,1,2,3.75,26.54
103,2,0,6.75,25.71
103,2,1,4.34,-0.26
103,2,2,5.8,26.32
104,0,0,2.76,1.2
104,0,1,1.77,0.53
104,0,2,5.13,26.53
104,1,0,1.05,18.57
104,1,1,1.92,0.53
104,1,2,3.24,26.47
104,2,0,0.15,26.89
104,2,1,2.96,-0.02
104,2,2,1.24,26.4
105,0,0,4.97,2.46
105,0,1,3.68,1.37
105,0,2,3.03,27.91
105,1,0,7.24,22.39
105,1,1,3.72,2.93
105,1,2,5.05,27.98
105,2,0,7.96,28.02
105,2,1,4.07,4.49
105,2,2,6.64,28.54
106,0,0,4.8,4.19
106,0,1,4.76,3.42
106,0,2,5.45,30.05
106,1,0,6.8,19.31
106,1,1,4.58,2.89
106,1,2,5.09,30.31
106,2,0,8.01,30.28
106,2,1,4.51,4.01
106,2,2,6.44,30.36
107,0,0,4.97,0.63
107,0,1,5.07,-0.26
107,0,2,0.15,27.08
107,1,0,0.29,17.74
107,1,1,4.93,0.85
107,1,2,0.03,26.31
107,2,0,-2.19,25.72
107,2,1,4.9,0.79
107,2,2,-1.22,26.33
108,0,0,7.06,0.2
108,0,1,5.88,-0.05
108,0,2,-0.17,25.4
